week;rank;title;singer;writer;album;isMV
36;11;tan cung noi nho new version;will han sara;andiez;;false
36;12;thay the;ho gia hung;dong thien duc;thay the single;false
36;13;catena;toc tien touliver;bui cong nam;catena single;true
36;14;cham day noi dau;erik;mr siro;cham day noi dau single;true
36;15;sao em no;jaykii;duong khac linhtrang phap;;true
36;16;roi bo;hoa minzy;vu huy hoang;roi bo single;true
36;17;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
36;18;u co anh day;tino;tang nhat tue;u co anh day single;false
36;19;vo thuong;karik orange;karik;;false
36;20;phai the thoi;le bao binh;le bao binh;;false
36;21;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
36;22;nguoi am phu;osad vrt;osadvrt;;false
36;23;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
36;24;cu lac;osad turn hirn;osad;;false
36;25;sofar;binz;binz;;false
36;26;cuoc song em on khong;anh tu;vuong anh tu;;false
36;27;co gai m52;huyr tung viu;huyrtung viu;;false
36;28;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
36;29;tap co don;le bao binh;le bao binh;;false
36;30;em oi em dau roi;chu bin;dinh tung huy;;false
36;31;nguoi doi thay;cao nam thanh;cao nam thanh;;false
36;32;ai khoc noi dau nay;bao anh;duc tri;;false
36;33;hom nay toi buon;phung khanh linh;phung khanh linh;;false
36;34;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
36;35;yeu thuong ngay do yeu em bat chap ost;soobin hoang son;khoa nguyen;yeu thuong ngay do yeu em bat chap ost single;true
36;36;vi yeu la nho ong ngoai tuoi 30 ost;han sara;onlycquang hung;;false
36;37;yeu duong;osad turn hirn;osad;;false
36;38;ngam hoa le roi;chau khai phong;duy cuong;;false
36;39;dung ai nhac ve anh ay;tra my idol;mr siro;dung ai nhac ve anh ay single;true
36;40;y em sao;kay tran lang ld;kay tranlang ld;;true
37;1;buon khong em;dat g;dat g;;false
37;2;tan cung noi nho;will;andiez;tan cung noi nho single;true
37;3;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
37;4;dung quen ten anh;hoa vinh;dat g;;false
